nbits,nprimes,msgsize,spawnTime,encrTime,decrTime,memory
32,22,32,0.011524916,0.002246618,0.002010107,0.001235962
32,23,8,0.010367632,0.001806259,0.002988338,0.000930786
32,23,16,0.010367632,0.00288868,0.002030373,0.001235962
32,23,24,0.010367632,0.002061844,0.002744198,0.001235962
32,23,32,0.010367632,0.002189159,0.002466679,0.001235962
32,24,8,0.013491631,0.001920462,0.002276659,0.000930786
32,24,16,0.013491631,0.00196743,0.002039194,0.001235962
32,24,24,0.013491631,0.001880169,0.001941204,0.001235962
32,24,32,0.013491631,0.00188756,0.002023458,0.001235962
32,25,8,0.02481842,0.004147291,0.004630566,0.000930786
32,25,16,0.02481842,0.004301548,0.004296303,0.001235962
32,25,24,0.02481842,0.003848076,0.004662991,0.001235962
32,25,32,0.02481842,0.003692865,0.002962351,0.001235962
32,26,8,0.02193141,0.0025208,0.002921581,0.000930786
32,26,16,0.02193141,0.00355196,0.002936363,0.001235962
32,26,24,0.02193141,0.002693653,0.002552271,0.001235962
32,26,32,0.02193141,0.002678394,0.003118038,0.001235962
32,27,8,0.013338089,0.003561974,0.003880262,0.000930786
32,27,16,0.013338089,0.002700329,0.002909899,0.001235962
32,27,24,0.013338089,0.002901077,0.003429174,0.001235962
32,27,32,0.013338089,0.002978325,0.002970695,0.001235962
32,28,8,0.016508579,0.003854752,0.003369093,0.000930786
32,28,16,0.016508579,0.003576994,0.004221678,0.001205444
32,28,24,0.016508579,0.003167629,0.003724813,0.001235962
32,28,32,0.016508579,0.003796577,0.003611565,0.001235962
