_id,CT_ID,Collection,Coilection_ID,Subgenus,Species,Year,Month,Collecting_date,Country,Location,Latitude,Longitude,Elevation_minimum,Elevation_maximum,Collector,Caste
788,CT#788,ACMU,,Alpigenobombus,Bombus breviceps,2018.0,Oct,10/10/2018,Thailand,,19.36,98.44,,,Suttiprapan P. & Phunoot P.,Worker
789,CT#789,ACMU,,Alpigenobombus,Bombus breviceps,2018.0,Oct,10/10/2018,Thailand,,19.36,98.44,,,Suttiprapan P. & Phunoot P.,Worker
790,CT#790,MJUMZ,,Alpigenobombus,Bombus breviceps,2012.0,May,19/5/2012,Thailand,,,,,,Chamaiporn Praprutdee,Worker
791,CT#791,MJUMZ,,Megabombus,Bombus montivagus,2012.0,Jul,25/7/2012,Thailand,Mae Jo University,18.9,99.01,,,,Worker
792,CT#792,MJUMZ,,Orientalibombus,Bombus haemorrhoidalis,1983.0,Sep,3/9/1983,Thailand,Tan Phra,18.94,99.07,,,Satit,Worker
793,CT#793,MJUMZ,,Orientalibombus,Bombus haemorrhoidalis,2002.0,Jul,27/7/2002,Thailand,Doi Chiang Dao,19.4,98.88,,,Manop Yammak,Worker
794,CT#794,MJUMZ,,Pyrobombus,Bombus flavescens,2002.0,Aug,9/8/2002,Thailand,Mae Jo,18.9,99.01,,,Naina Sansuk,Worker
795,CT#795,MJUMZ,,Pyrobombus,Bombus flavescens,,,,Thailand,Mae Jo,18.92,99.03,,,Patharapol Yamasak,Worker
796,CT#796,MJUMZ,,Melanobombus,Bombus eximius,2002.0,Jul,14/7/2002,Thailand,,18.99,99.01,,,Jantarong,Worker
797,CT#797,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Sep,12/9/2012,Thailand,Mae Jo,18.9,99.01,,,Warunyupa,Worker
798,CT#798,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Jul,3/7/2012,Thailand,Baan Pha Kam,18.91,99.0,,,Suwimon,Worker
799,CT#799,MJUMZ,,Melanobombus,Bombus eximius,2003.0,Jul,12/7/2003,Thailand,Ang Kep Nam Huai Cho,18.94,99.06,,,Siwaporn,Worker
800,CT#800,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Aug,6/8/2012,Thailand,Mae Jo,18.9,99.01,,,Thongrob Tasiti,Worker
801,CT#801,MJUMZ,,Melanobombus,Bombus eximius,2012.0,Jun,25/6/2012,Thailand,Ban Huay Wok,18.37,98.2,,,Suppawich Thanomuraphee,Worker
802,CT#802,MJUMZ,,Melanobombus,Bombus eximius,,,,Thailand,Mae Jo,18.9,99.01,,,,Worker
